"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J19,J18,J4,J17";"BNC_731711900";4;"BNC-Female-PCB";;;
2;"J5";"AMS29D-40MZ5-A";1;"Rosenberger-AMS29D-40MZ5-A";;;
3;"J3,J12";"59S2AA-400A5-G";2;"Rosenberger-59S2AA-400A5-G";;;
4;"J14,J13,J7,J15";"AMS29A-40MZ5-Z";4;"Rosenberger-AMS29A-40MZ5-Z";;;
5;"J16,J6";"AMS29B-40MZ5-Z";2;"Rosenberger-AMS29B-40MZ5-Z";;;
6;"J10,J9,J8,J11";"59S2AQ-40MT5-C_1";4;"Rosenberger-59S2AQ-40MT5-C_1";;;
7;"SJ1";"SJ";1;"SolderJumper-2pin";;;
8;"J2,J1";"DSUB-37_Female_Vertical_P2.77x2.84mm_Flat_MountingHoles";2;"DB37_Female_MountingHoles_Flat";;;
