"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J3";"Display2x4";1;"Daimler-Display-02x4";;;
2;"J4";"MMBox-Pigtail-White";1;"Daimler-MMBoxPigtail-White";;;
3;"J1,J2";"MM-Box";2;"Daimler-MMBox-01x06";;;
4;"SJ1";"SJ";1;"SolderJumper-2pin";;;
5;"J5";"MMBox-Pigtail-Blue";1;"Daimler-MMBoxPigtail-Blue";;;
6;"J11,J12";"DSUB-37_Female_Vertical_P2.77x2.84mm_MountingHoles";2;"DB37_Female_MountingHoles";;;
